id;scenario_id;region;year;input_energy_vector;output_energy_vector;technology;technology_type;parameter_name;value;unit;tags;method;source;comment
44;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;waste;electricity;chp;steam;output ratio;0.23;;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p114, WtE CHP small
45;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;waste;electricity;generator;steam;variable costs;25.9;€/MWh;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p114, WtE CHP small
46;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;waste;electricity;generator;steam;fixed costs;422200;€/MW/a;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p114, WtE CHP small
47;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;waste;electricity;generator;steam;capital costs;10640000;€/MW;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p114, WtE CHP small
48;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;waste;electricity;generator;steam;lifetime;25;years;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p114, WtE CHP small
49;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;waste;electricity;generator;steam;input ratio;1;;;;DEA2020;p114, WtE CHP small
50;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;waste;electricity;generator;steam;output ratio;0.28;;;"{""value"": ""Interpolation 2015-2020, 5% more than WtE CHP""}";DEA2020;p114, WtE CHP small
51;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;biomass;electricity;generator;steam;variable costs;9.3;€/MWh;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p138, Wood Chips CHP, small
52;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;biomass;electricity;generator;steam;fixed costs;284200;€/MW/a;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p138, Wood Chips CHP, small
53;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;biomass;electricity;generator;steam;capital costs;6460000;€/MW;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p138, Wood Chips CHP, small
